                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     84,                0.61372,                0.52445,                 1.0542,                0.66603,                0.48673,                0.51716,                0.43353,                0.72555,                0.73487,                 1.1364,             0.00013711,             0.00013711,             0.00013711
                     85,                 0.6253,                0.53769,                 1.0463,                0.66363,                 0.5126,                0.52625,                 0.4363,                0.72818,                0.73876,                 1.1313,              0.0001295,              0.0001295,              0.0001295
                     86,                  0.602,                0.51783,                 1.0434,                0.68059,                0.51784,                0.53307,                0.45009,                 0.7194,                0.69106,                 1.1243,             0.00012189,             0.00012189,             0.00012189
                     87,                0.60608,                0.51878,                 1.0415,                0.48993,                0.56014,                0.52192,                0.44076,                0.73194,                0.72514,                 1.1252,             0.00011427,             0.00011427,             0.00011427
                     88,                0.60729,                0.52013,                 1.0311,                0.65702,                0.50701,                0.49981,                0.41781,                0.72709,                0.75243,                 1.1135,             0.00010666,             0.00010666,             0.00010666
                     89,                0.59299,                0.51126,                  1.023,                0.65169,                0.50849,                0.50713,                0.41765,                 0.7357,                0.73106,                 1.1178,             9.9047e-05,             9.9047e-05,             9.9047e-05
                     90,                0.58473,                0.49424,                 1.0264,                  0.481,                0.51169,                0.50968,                0.43066,                0.71178,                0.72477,                 1.1065,             9.1434e-05,             9.1434e-05,             9.1434e-05
                     91,                0.47624,                0.41204,                0.97128,                0.70923,                0.50643,                0.52538,                0.43124,                0.74796,                0.74894,                 1.1363,             8.3821e-05,             8.3821e-05,             8.3821e-05
                     92,                0.46123,                0.39021,                0.97208,                 0.8698,                0.50272,                0.51721,                0.42605,                0.74784,                0.75578,                 1.1422,             7.6208e-05,             7.6208e-05,             7.6208e-05
                     93,                0.45399,                0.38317,                0.96998,                0.65899,                0.55221,                0.52406,                0.43694,                0.73213,                0.75648,                 1.1338,             6.8595e-05,             6.8595e-05,             6.8595e-05
                     94,                0.44796,                0.36274,                0.95799,                0.52274,                0.54633,                0.53063,                0.44122,                0.73349,                0.77045,                 1.1313,             6.0982e-05,             6.0982e-05,             6.0982e-05
                     95,                0.45309,                0.36933,                 0.9786,                 0.4753,                0.55427,                0.52449,                0.44028,                0.73405,                0.76601,                 1.1322,             5.3369e-05,             5.3369e-05,             5.3369e-05
                     96,                0.43932,                0.36092,                0.96445,                0.69419,                0.55221,                0.53259,                0.45127,                0.72666,                0.76668,                 1.1255,             4.5756e-05,             4.5756e-05,             4.5756e-05
                     97,                0.44357,                0.35581,                0.94482,                0.69006,                0.54913,                0.55451,                 0.4742,                 0.7256,                0.76613,                 1.1267,             3.8142e-05,             3.8142e-05,             3.8142e-05
                     98,                0.42973,                0.35362,                0.94812,                 0.5083,                0.55201,                0.52846,                 0.4506,                0.72019,                0.75632,                 1.1227,             3.0529e-05,             3.0529e-05,             3.0529e-05
                     99,                 0.4257,                0.35286,                0.95117,                0.49773,                0.55118,                0.52832,                0.44708,                0.71524,                0.74774,                 1.1203,             2.2916e-05,             2.2916e-05,             2.2916e-05
                    100,                0.42575,                0.34928,                0.95595,                0.67481,                0.55207,                0.52899,                0.44852,                0.71296,                 0.7469,                 1.1173,             1.5303e-05,             1.5303e-05,             1.5303e-05
